 COUNTY , TOTAL ORCH. VINE CROP , ALMOND , GRAPE , APPLE , APRICOT , AVOCADO , EXOTIC , CHERRY , NUTS OTHER , LEMON , CITRUS OTHER , DATE & FIG , FRUITS & NUTS UNSP. , KIWIFRUIT , NECTARINE , OLIVE , ORANGE , PEACH , PEAR , PISTACHIO , PLUM , WALNUT ,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
 Santa Clara ," 3,021 ", -   ," 1,605 ", -   , 278 , -   , -   , 843 , -   , -   , -   , -   , 187 , -   , -   , -   , -   , -   , -   , -   , -   , 108 ,,,,
 Santa Cruz ," 3,021 ", -   , 656 ," 2,154 ", -   , -   , -   , -   , -   , -   , -   , -   , 212 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Shasta , 750 , -   , 160 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 589 ,,,,
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Siskiyou , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Solano ," 15,469 "," 4,686 "," 4,393 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 705 , -   , -   , 96 , -   , -   , -   , -   , 686 ," 4,903 ",,,,
 Sonoma ," 61,157 ", -   ," 58,469 "," 2,437 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 251 , -   , -   , -   , -   , -   , -   ,,,,
 Stanislaus ," 280,660 "," 224,060 "," 12,436 ", 663 ," 6,447 ", -   , -   ," 3,944 ", -   , -   , 721 , -   ," 5,886 ", -   , -   , -   , -   ," 7,933 ", -   , -   , -   ," 18,570 ",,,,
 Sutter ," 51,024 "," 10,165 ", -   , -   , -   , -   , 121 , -   , -   , -   , -   , -   , -   , 84 , -   , 678 , -   ," 9,982 ", -   , -   ," 14,397 "," 15,597 ",,,,
 Tehama ," 38,496 "," 14,619 ", 121 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,846 ", -   , -   , -   , 118 ," 4,961 "," 12,832 ",,,,
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Tulare ," 395,013 "," 63,393 "," 60,675 ", -   , 805 , -   ," 5,463 "," 2,546 ", 923 ," 9,890 "," 32,838 ", -   , 390 ," 2,387 "," 7,712 "," 6,958 "," 131,405 "," 14,801 ", 185 ," 23,682 "," 9,937 "," 21,022 ",,,,
 Tuolumne , 186 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 186 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Ventura ," 43,923 ", -   , -   , -   , -   ," 16,084 ", -   , -   , -   ," 20,438 "," 2,853 ", -   , 615 , -   , -   , -   ," 3,933 ", -   , -   , -   , -   , -   ,,,,
 Yolo ," 54,232 "," 27,188 "," 12,636 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,809 ", -   , -   ," 2,194 ", -   , -   , -   , -   ," 1,424 "," 7,981 ",,,,
 Yuba ," 18,301 "," 1,157 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 726 , 353 , -   , -   , -   ," 3,718 ", -   , -   ," 5,931 "," 6,416 ",,,,
 Other ," 35,368 "," 1,104 "," 3,186 "," 2,092 ", 258 ," 1,099 "," 12,563 ", 127 ," 1,578 ", 575 ," 4,613 "," 1,862 "," 1,071 ", 126 , 438 ," 1,009 ", 192 ," 2,270 ", 177 , 568 , 462 , -   ,,,,
 Total ," 3,430,039 "," 1,419,811 "," 895,922 "," 12,573 "," 12,825 "," 46,926 "," 22,741 "," 44,935 "," 4,739 "," 58,105 "," 110,412 "," 11,431 "," 32,199 "," 4,039 "," 18,881 "," 25,549 "," 241,831 "," 69,184 "," 12,916 "," 134,607 "," 62,734 "," 187,679 ",,,,
