id,longitude,latitude,state_name,state_abbrev,county_name,fips,bt23_scenario,resource_price,resource_type,resource,resource_amount,resource_units,data_source,data_source_url
51,-123.7252612151,41.718391256604704,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,33.532642,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
52,-123.98236011914601,41.8859190709487,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,30.136425,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
53,-123.749973442958,41.8045821137017,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,34.589222,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
54,-124.02247393449301,41.576068992852704,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,19.99542,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
55,-124.055488566749,41.687810004298704,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,38.03421,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
56,-123.868191558103,41.7309563389262,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,43.632816,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
57,-123.700726288623,41.5218681922082,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,37.160248,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
58,-123.765563401039,41.6397571279665,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,38.135727,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
59,-123.937567218575,41.510212953118206,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,29.181175,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
60,-123.616346198974,41.956249898809396,CALIFORNIA,CA,Del Norte,06015,mature-market medium,70.11,Small-diameter trees,Softwood natural small-diameter trees,41.172756,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
61,-123.855396383941,41.8480160963635,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,49.64799,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
62,-123.82736702268,41.9540364557145,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,59.407944,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
63,-123.909164761889,41.6382954960368,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,50.600513,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
64,-123.85017379332199,41.9117039524105,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.7981999,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
65,-123.926343070052,41.4872211592046,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.8807418,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
66,-123.764021654244,41.7700633554481,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.3925794,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
67,-124.131211320624,41.7402629321944,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.5789319,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
68,-123.89375370968901,41.6587212052633,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.5860214,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
69,-124.053314902149,41.5803848118548,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.405871,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
70,-123.721298576922,41.4207738133331,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,0.5924793,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
71,-123.989478201491,41.5311011517024,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.7856653,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
72,-124.021364400618,41.65142900218729,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.435748,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
73,-124.09873768103901,41.934479380221205,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.901504,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
74,-123.97045369448799,41.5947317676344,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,3.3923235,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
75,-124.092122234826,41.62658788713429,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.2286336,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
76,-123.920953016439,41.801611855816205,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.1981246,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
77,-124.177292116616,41.9594319532627,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.439799,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
78,-124.106475699009,41.866253257209294,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.7678163,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
79,-123.79498812323901,41.5743958774171,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.1722988,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
80,-124.03527422667601,41.82933119911829,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.7662972,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
81,-124.03252329108999,41.5619425928151,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,9.411811,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
82,-124.075785881775,41.663693818241896,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,8.229132,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
83,-123.67493786939801,41.9320768320362,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.695397,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
84,-124.026765306096,41.7323955233407,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,7.118107,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
85,-123.83480304643899,41.8137998720406,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,6.039237,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
86,-124.119666149267,41.737539866185,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,6.734261,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
87,-124.07279192206,41.608406703713,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,8.318257,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
88,-124.034137351777,41.495098193684704,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,9.537904,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
89,-123.992296586798,41.6271515175379,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.850353,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
90,-123.947229195282,41.5695966059056,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,8.772238,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
