 COUNTY , TOTAL      ROW CROP , ARTICHOKE , ASPARAGUS , BEET , BERRY , BROCCOLI , CABBAGE  , CARROT , CAULIFLOWER , CELERY , CUCUMBER , GARLIC , LETTUCE , MELON , ONION , PEPPER , POTATO , SQUASH , SPINACH & GREENS , SPICES & HERBS , TOMATO& EGGPLANT , VEG UNSP. , OTHER CRUCIFEROUS , VEG OTHER , BEAN & PEA , CORN SWEET 
 Shasta , 45 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , -   , -   , -   , -   , -   , -   
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Siskiyou ," 2,439 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 382 , -   ," 1,674 ", -   , -   , 222 , -   , 161 , -   , -   , -   , -   
 Solano ," 2,960 ", -   , -   , -   , 7 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,518 ", 435 , -   , -   , -   , -   
 Sonoma , 87 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 87 , -   , -   , -   , -   
 Stanislaus ," 9,255 ", -   , -   , -   , -   , 640 , -   , -   , 114 , -   , -   , -   , -   ," 1,183 ", -   , -   , 322 , 165 , 395 , -   ," 5,041 ", 794 , -   , -   , 599 , -   
 Sutter ," 2,681 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 300 , -   , -   , -   , -   , -   , -   ," 2,359 ", 22 , -   , -   , -   , -   
 Tehama , 24 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 24 , -   , -   , -   , -   
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Tulare ," 2,027 ", -   , -   , -   ," 1,058 ", 396 , -   , -   , -   , -   , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 552 , -   , -   , -   , -   
 Tuolumne , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   
 Ventura ," 21,360 ", -   , -   , 168 ," 13,729 ", 156 , 735 , 69 , -   ," 2,037 ", 25 , -   , 352 , -   , 80 , 789 , -   , 71 , 253 , 793 , 306 , 296 , -   , -   , -   ," 1,501 "
 Yolo ," 10,700 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,057 "," 1,644 ", -   , -   , -   , -   
 Yuba , 9 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   
 Other ," 16,259 ", 20 , 94 , 441 ," 1,502 ", 164 , 509 ," 4,925 ", 78 , 177 , 33 , 65 , 307 , 231 , 468 , 330 , 474 , 80 , 374 , 574 ," 1,116 ", 203 , -   , -   , 428 ," 3,665 "
 Total ," 339,690 "," 2,091 "," 1,116 ", 627 ," 43,588 "," 20,974 "," 4,150 "," 6,130 "," 5,512 "," 6,723 ", 948 ," 5,639 "," 30,087 "," 8,257 "," 9,599 "," 4,057 "," 13,274 "," 2,387 "," 6,428 "," 2,551 "," 73,332 "," 21,635 ", -   , -   ," 2,006 "," 68,581 "
"
",,,,,,,,,,,,,,,,,,,,,,,,,,
